1001_Genomes_ID,leaf_ionome_Mo98
583,NA
6017,NA
9522,33.87346051
9536,32.06457198
9312,29.89422214
9532,28.0876754
9598,26.73440071
9515,25.95936734
4826,25.20733312
4931,25.0260287
9908,25.01229806
9990,24.66833555
5720,23.87275813
9113,23.51505683
265,22.86461166
9511,22.72770173
9600,22.57935401
7058,22.15767603
9871,22.1446759
5470,21.87382935
9520,21.78400028
9453,21.70407532
7107,20.97454593
6943,20.94207159
8132,20.75012059
7061,20.69045274
2276,20.36484326
5506,20.24866426
9550,19.95173704
8242,19.94487747
7947,19.94381034
7524,19.92515544
8213,19.61998174
9571,19.56315803
5535,18.97461914
7415,18.66358813
9873,18.59651031
9106,18.39071524
7413,17.90498486
9599,17.84018099
9339,17.67835782
10001,17.39305973
7280,17.34393879
7282,17.31284453
9855,17.29856659
100000,16.58661124
8249,16.55675598
6911,16.46444139
7525,16.42327566
6021,16.04352149
9946,16.00133916
9877,15.68201897
9809,15.57957288
9724,15.32867311
6974,15.05005057
6025,14.75562372
6125,14.57616338
9470,14.54593793
9849,14.53557478
6034,14.52176353
9512,14.41183932
9383,14.38928153
5831,14.29897865
9783,14.23362016
9529,13.97121301
9521,13.85134494
7126,13.81549565
5779,13.69428711
9561,13.58457809
9408,13.57288392
9454,13.5175783
9762,13.50309569
6163,13.44932174
9514,13.2658538
9986,13.23245952
10020,13.1045983
2317,13.06941715
9409,13.04532548
9826,12.9028187
9767,12.77237819
9882,12.62456599
9886,12.57855576
9381,12.56899058
7236,12.56815306
6106,12.54555275
6136,12.48204489
6154,12.42399833
9887,12.4210347
6195,12.32281692
7356,12.32111071
5784,12.2498147
9923,12.18220424
9593,12.14977591
7384,12.07600116
8422,12.04337092
9727,12.00650918
7516,12.00585053
6166,11.92817931
9819,11.89647784
9838,11.89272053
6124,11.86919989
9645,11.86575475
9761,11.85196761
7013,11.79140846
9858,11.79042933
9386,11.77894668
6153,11.72553911
5832,11.71369082
9922,11.6093531
6171,11.55714806
7164,11.55418745
9907,11.55203507
9531,11.51907583
9835,11.47825089
9580,11.44893907
7354,11.42704611
9552,11.35194788
10006,11.35092073
6276,11.32149876
9382,11.27912642
9125,11.27326124
7305,11.24447332
6897,11.23789593
9991,11.20253887
9343,11.10005803
6258,11.09901497
9816,11.09602774
9670,11.0365161
7351,10.9490823
9535,10.90826505
6149,10.89386462
6145,10.85943665
8259,10.81800184
6104,10.81402255
1257,10.78323912
9709,10.76274798
7068,10.64099701
9589,10.47833074
9543,10.46096522
9111,10.42799544
9584,10.41386841
9668,10.36511356
9749,10.35409004
1254,10.31182918
9507,10.30699695
9604,10.30322298
6969,10.30130891
9673,10.2696168
9669,10.25160736
9407,10.24372305
9665,10.24201003
7181,10.21187337
6972,10.20568088
9884,10.02994915
9114,10.02979457
9576,9.96404324
6173,9.959877023
7373,9.937116464
9527,9.926885048
7138,9.89590902
9807,9.831193009
6252,9.825026486
9405,9.816211939
6030,9.813776002
9965,9.811142993
6148,9.810967987
1002,9.805609439
6112,9.795618793
9476,9.775856546
8335,9.755265102
9404,9.734977399
9980,9.728590667
9565,9.725301286
7010,9.706412983
9755,9.701111652
6174,9.671729064
6172,9.658262755
9903,9.633403926
6968,9.576180401
9976,9.54540335
9455,9.531628353
9737,9.527969399
9626,9.493559086
9427,9.465049957
9899,9.445940526
9451,9.433135276
6131,9.420967588
9534,9.409204427
9091,9.38632089
9115,9.359060855
9671,9.354315298
6099,9.350967652
9567,9.306531216
5748,9.297916756
6268,9.268409638
9846,9.247214357
9697,9.230688413
8369,9.229168643
9927,9.21068071
9394,9.208382895
9650,9.12955678
9416,9.123337798
6231,9.02734935
9321,9.019860184
9768,8.991281261
6169,8.988522267
9566,8.965459733
10018,8.965129632
6413,8.959902123
9323,8.9547525
9513,8.943389687
9556,8.922228713
9528,8.891758546
9436,8.886230541
7273,8.882762672
9119,8.881574969
7062,8.873629469
9588,8.849758104
6202,8.845866395
8258,8.838151239
9876,8.792864129
9720,8.792616387
9583,8.786321587
992,8.77556303
7375,8.707321979
9653,8.682735938
8244,8.654156724
9601,8.62795047
9874,8.604294455
9597,8.570351993
6992,8.548558663
5865,8.545285627
9824,8.537907657
6076,8.522257151
9850,8.515773035
6917,8.513513805
9557,8.479867906
9745,8.473758413
9759,8.469646154
9587,8.465730813
6976,8.464907857
9796,8.45726962
9078,8.455735318
9442,8.42552519
8376,8.417326756
8247,8.402776298
9989,8.392876613
6020,8.356215765
9095,8.346541695
8275,8.288907402
7206,8.272888532
10008,8.24589769
9574,8.243108654
9948,8.233342149
6128,8.197115488
8337,8.196435398
9608,8.17663452
9817,8.160707189
9064,8.151935113
6142,8.141923545
6218,8.124870005
9799,8.121680387
8222,8.10031469
9371,8.090403462
9753,8.088204885
9791,8.085970201
9920,8.037619484
8256,8.015838189
5867,8.010902047
9889,7.997417332
9570,7.994418928
9648,7.928647194
6255,7.900711479
6177,7.89082838
6680,7.832889382
9928,7.825961525
9517,7.825531793
9890,7.804509914
9063,7.765785157
9726,7.746157224
9434,7.72301326
9594,7.722998113
9729,7.705671657
9820,7.703501836
9622,7.700891532
9716,7.700777102
6194,7.691574247
9773,7.677003324
9831,7.598864731
9073,7.580864711
10012,7.580745944
8243,7.532876616
6137,7.526411867
8297,7.51240354
7130,7.490969165
1137,7.478538697
9524,7.474335769
9971,7.447894308
9120,7.429523549
9806,7.422696444
9655,7.401166049
6904,7.398976134
9842,7.393340912
6928,7.392834537
5829,7.371202909
6073,7.369450449
9741,7.355649531
7163,7.331908536
9707,7.322653293
9881,7.319547968
9914,7.293993917
9764,7.28650798
6918,7.265010626
6221,7.264969832
9803,7.240419254
6217,7.236337273
6957,7.235740755
8231,7.235098745
9519,7.224814872
9591,7.218269956
9525,7.205352066
9672,7.199346044
9104,7.179642209
9804,7.16995256
9789,7.157956858
9569,7.155046745
9546,7.148051424
7202,7.146010883
9651,7.142757118
9590,7.138296592
7075,7.123206287
9853,7.117968721
8420,7.11519924
9121,7.094326848
7329,7.082597203
9840,7.052553498
9982,7.042813191
5210,7.032997106
9678,7.00011489
9969,6.996605382
9506,6.99398793
9776,6.99100565
9734,6.985539368
9798,6.970570047
9332,6.955981744
9390,6.942404288
9421,6.935896469
6959,6.918867055
10013,6.914741122
6074,6.901981026
8246,6.890877516
9544,6.859038879
9530,6.854790071
9538,6.843937326
9096,6.834220673
7917,6.81702461
1552,6.796547749
9898,6.789316107
9836,6.774478385
7471,6.769169403
9070,6.763577273
6994,6.762633394
6216,6.755522886
6220,6.747359096
9739,6.729524776
9085,6.719893501
9412,6.708462401
6107,6.707591952
9957,6.6936664
351,6.692231716
9084,6.687203013
9592,6.671794725
7268,6.670650321
9526,6.665269762
9099,6.65817744
9950,6.652708855
9897,6.652024826
9686,6.646361872
9916,6.636625977
9895,6.635117951
9399,6.631406333
9508,6.62282344
6922,6.62103496
6115,6.615756281
9098,6.613409342
9828,6.608179626
9562,6.594303168
8214,6.591476092
7167,6.560407548
9810,6.54157906
9956,6.541573008
9392,6.535106722
9595,6.531252562
10009,6.527763071
9688,6.516256079
7372,6.512353753
9921,6.50564553
9075,6.496639235
9823,6.495755452
9833,6.492514408
8428,6.492428795
9518,6.486767258
9677,6.468268863
7217,6.466692335
8230,6.464630811
7252,6.455144625
9577,6.441760349
6184,6.440587159
7208,6.435347596
9079,6.420500049
9770,6.395544305
410,6.39151063
9124,6.388019125
6132,6.38076303
6960,6.376905071
10004,6.36948413
9933,6.363666168
6967,6.362985558
9627,6.358381235
1066,6.357817194
7071,6.357688121
6961,6.354546818
9067,6.344600239
9812,6.331495265
7031,6.327428324
6114,6.321769876
9718,6.307826573
9560,6.30202183
9572,6.298773981
9388,6.263881433
5822,6.250467273
9949,6.23768643
9915,6.228662335
6140,6.219729822
9413,6.212148625
9844,6.210352946
9533,6.206305724
7349,6.204834638
9866,6.19657566
9545,6.192936161
9573,6.183982443
9883,6.168873119
8311,6.146929046
5964,6.135433911
7231,6.132863771
9964,6.132479562
9605,6.132301551
6975,6.126191352
9558,6.124473519
9778,6.115902453
7209,6.105015544
9730,6.099593803
10025,6.070424213
9955,6.068429877
7036,6.063545102
7003,6.059132514
9918,6.054633297
1925,6.050245995
6915,6.039860709
9944,6.039168409
8236,6.031455681
9924,6.026018869
8227,6.023265063
9911,6.016891834
6424,6.007845633
9336,6.003086891
9391,6.000518005
9676,5.993111888
9539,5.991757222
6970,5.989766568
9910,5.968735023
6909,5.966395952
9700,5.94927219
9352,5.948122846
9752,5.945378468
6134,5.940397635
9968,5.913055367
9575,5.911533217
9805,5.90723067
8354,5.906906964
9756,5.905012826
5778,5.902611386
5874,5.902276769
9100,5.899932674
9913,5.895774653
9953,5.894459895
9654,5.894133092
10005,5.877339146
108,5.875919216
9559,5.875037316
9681,5.874040646
9854,5.863199946
9509,5.857156538
9437,5.855229284
9656,5.854104779
10023,5.849512976
9992,5.847109674
9851,5.843241913
9893,5.840219742
7350,5.839947301
7199,5.831484431
6108,5.826506527
7382,5.824639701
5151,5.824413994
6966,5.821426363
9868,5.817663091
9082,5.816910382
9787,5.816276178
9105,5.810669246
6987,5.808833361
9568,5.808579301
9683,5.803802715
9963,5.796221046
10002,5.789818071
9712,5.785828378
9684,5.782892434
9081,5.782204826
9314,5.772193691
7427,5.771456188
9353,5.768864199
9510,5.729040819
9674,5.707129803
9863,5.696501015
9974,5.685639308
9725,5.679707007
7081,5.679364156
9987,5.676548145
9090,5.673387131
9864,5.67244264
9869,5.663711156
9061,5.659595825
9682,5.656148134
9703,5.655123166
9738,5.6321404
9896,5.625595869
9938,5.624955618
9939,5.624339122
6906,5.622895682
8234,5.620442161
9564,5.616183471
6122,5.614036209
9680,5.613480704
9892,5.602328459
7077,5.595565326
9602,5.592800519
4779,5.584021849
9906,5.572820789
7419,5.568571605
7026,5.564921359
9901,5.56394705
9825,5.556642496
7092,5.540674415
2202,5.538452314
9860,5.511935473
6920,5.511226877
4900,5.511190679
6938,5.510066123
9103,5.502295136
7148,5.485778994
7288,5.482086061
7002,5.477749432
10021,5.474380096
7192,5.473213786
8284,5.471130743
9603,5.464612998
9705,5.46294312
9747,5.451948497
9555,5.446368801
9786,5.446059013
9722,5.443432281
9940,5.437592232
6090,5.431036118
9646,5.426798645
8366,5.418492281
8378,5.409336005
6180,5.405664383
6936,5.401160814
9662,5.389927733
7258,5.385852587
9937,5.385607845
9962,5.382058755
7328,5.380231499
6105,5.368841994
7306,5.361817324
9660,5.349108866
5993,5.348259787
9652,5.344851658
6016,5.341677786
5921,5.340169835
9983,5.338396333
9814,5.337111362
7161,5.331356912
9069,5.325002623
9582,5.314895241
7355,5.29776681
6243,5.290199483
7263,5.289037984
5253,5.288427362
7298,5.270467256
9607,5.267901435
6958,5.259966976
8264,5.259507763
9843,5.235842371
9985,5.235836071
9450,5.231546579
766,5.218252494
8238,5.21795093
9694,5.2141301
9801,5.200982071
9925,5.198147519
9537,5.187914742
159,5.164345256
9102,5.161991366
9945,5.159024238
9663,5.151780776
9578,5.146342259
9735,5.138497811
9861,5.105747953
9089,5.105175361
7322,5.097060371
932,5.090919051
7276,5.090823055
9746,5.089108767
9452,5.08779551
9919,5.087675608
9581,5.078950229
9554,5.07831235
10007,5.076373397
1063,5.066609894
9972,5.065388585
9541,5.06445141
8353,5.062346737
7014,5.061873688
9057,5.057490077
9742,5.057249523
5486,5.056892628
88,5.052709259
7477,5.046027513
9066,5.042988001
9813,5.035708107
9402,5.0305143
5835,5.027226886
6921,5.022417718
5811,5.015147419
9704,5.005493757
5577,4.991652252
7143,4.987478459
7461,4.986479874
7025,4.986408176
7169,4.98577528
9658,4.98117556
9862,4.972990628
9596,4.972264277
9617,4.963519429
9094,4.956754264
801,4.955174338
9687,4.954648224
6990,4.950899689
9935,4.945950981
7514,4.944256067
6940,4.943022312
6982,4.941275743
7308,4.940838533
9867,4.93472081
7316,4.92866992
6965,4.927667929
9685,4.925883703
9951,4.923787032
9542,4.906119579
8351,4.895156187
139,4.893860019
7337,4.881388139
7526,4.873318845
6244,4.865429269
9975,4.862948494
8312,4.842956498
9750,4.840356396
7523,4.840250968
6913,4.836228026
6092,4.827836692
9808,4.82229095
7314,4.821475741
5757,4.812828817
6201,4.811749527
9551,4.811456018
9675,4.808929557
7094,4.805759285
8077,4.802594251
9723,4.79064038
10000,4.787239843
7522,4.78587372
2016,4.784357432
7319,4.775073215
9905,4.774494585
1585,4.757591751
1872,4.75367824
9785,4.751203631
6926,4.750697289
6989,4.743609015
9728,4.737088899
7008,4.729560397
9848,4.723591516
6900,4.723074448
9696,4.718774536
9679,4.713578279
9995,4.711354776
6997,4.706621649
7519,4.705040049
9837,4.692099677
7248,4.678634146
6193,4.670805582
7515,4.668841815
8472,4.664608326
9553,4.661356379
2278,4.628201732
9984,4.62602989
9549,4.609797257
997,4.602937591
9926,4.602602773
9615,4.59677934
7250,4.592736321
5768,4.592416949
9743,4.591850782
9548,4.590766591
9967,4.580596007
6916,4.573601936
6038,4.572713061
10014,4.565294769
9847,4.562735929
8240,4.560865443
9058,4.551593304
8426,4.55133806
7064,4.544167257
9870,4.542438139
6986,4.53978403
6390,4.533012933
9706,4.528703658
8239,4.528450264
6111,4.520703568
8423,4.515592106
9516,4.50928315
7377,4.506549627
7166,4.504940672
6191,4.497636441
7394,4.486536251
7103,4.483269408
9649,4.479050466
8237,4.469577816
5726,4.465096048
7344,4.464334821
9821,4.463944879
5104,4.463825753
6944,4.463608876
10003,4.463357968
424,4.455969598
7033,4.455552356
6036,4.449890457
6284,4.439988758
7320,4.424518903
9902,4.416592184
1853,4.399612546
403,4.397777318
9380,4.389422628
7430,4.385997356
10026,4.379048798
7521,4.378014644
8357,4.377829886
9613,4.372340553
9830,4.362983272
1954,4.357978764
9966,4.35615115
7120,4.343674972
9715,4.33888921
7111,4.336535306
6192,4.330482988
9298,4.329164584
6927,4.316840326
5818,4.316601044
991,4.315790452
9929,4.312889301
7387,4.311721331
9780,4.311163868
8290,4.305617311
9585,4.301552453
7160,4.299706533
1061,4.295576604
9701,4.295562182
7438,4.294246988
6396,4.287942217
7307,4.275090109
9661,4.272070322
6923,4.267097733
9657,4.256777012
5890,4.250559574
7330,4.240463299
9586,4.226344581
9909,4.208239418
8233,4.206450815
1074,4.206447262
428,4.205782571
9880,4.198034365
9872,4.195267971
4884,4.175022255
6097,4.173924817
6981,4.168644403
6973,4.166841683
9698,4.166709262
9717,4.158233207
9721,4.155934562
9711,4.155585324
6898,4.153879513
9979,4.147245872
870,4.138948797
7186,4.132979851
6086,4.115763582
7287,4.107846308
6102,4.106971901
9832,4.098484689
8241,4.092487353
7342,4.091444617
6150,4.091405289
350,4.08779887
7223,4.080879337
5893,4.079978407
7244,4.077668818
9736,4.07069383
7109,4.058483759
9644,4.058175195
7332,4.052333247
8584,4.048548405
7000,4.040839221
6210,4.037486355
6046,4.034292725
9540,4.030858153
630,4.027567291
7343,4.002824432
10017,3.997590756
5236,3.99482559
7333,3.994089589
9936,3.975046108
9970,3.967353038
9775,3.959772382
6979,3.951528308
6939,3.941233277
6203,3.941134548
6964,3.93623444
9760,3.935941086
6984,3.93586724
9917,3.921498631
5984,3.913805704
5353,3.905152684
6109,3.900647665
8283,3.895957941
7158,3.889012877
6956,3.886267513
7102,3.86989237
6085,3.865606274
5950,3.861549281
9875,3.860355381
6094,3.843795775
7296,3.838548959
7353,3.831289757
7416,3.828308753
9731,3.817765598
6039,3.812675775
8365,3.806784014
7063,3.801263824
9943,3.798543504
9045,3.793392474
6903,3.788963907
6709,3.787140031
6945,3.784730597
5741,3.779253273
9503,3.769032404
6041,3.764429331
7411,3.758020863
5830,3.755876559
6008,3.745418709
6035,3.728114563
8386,3.72457528
8285,3.717604143
6919,3.710158248
9563,3.709118711
6009,3.70584932
8307,3.692030671
9942,3.673013206
4807,3.671961988
9356,3.649830374
7346,3.648053479
7123,3.642367349
5165,3.632091548
6209,3.617234086
6011,3.617046878
7460,3.615787393
7418,3.582220867
9611,3.54792166
6151,3.526242048
6043,3.525985177
6113,3.508351196
6951,3.494462971
8306,3.490187574
4958,3.474627061
7255,3.466957965
5907,3.46189063
6129,3.454803025
9879,3.44172484
9865,3.43345463
9856,3.428271544
7162,3.424175688
6445,3.422457987
6019,3.41346654
9744,3.392856241
6138,3.389252389
9481,3.367913448
6198,3.364649744
7165,3.362501808
2171,3.356576946
9610,3.335766439
7028,3.335620828
9941,3.332390124
8326,3.325779552
7127,3.319004969
5644,3.302687913
9994,3.286993905
6133,3.281771463
8424,3.266863053
7717,3.258367005
8430,3.256072987
9606,3.249192772
6242,3.245157007
6908,3.223796852
5837,3.202192949
6937,3.182135968
8387,3.163868132
9996,3.1130785
9792,3.111988736
6189,3.107237593
9947,3.103771077
6042,3.083688763
7098,3.064469136
9981,3.058465957
10016,3.043145276
6924,3.034881673
6288,3.03090627
9740,3.021164146
8235,2.998385563
7067,2.949955725
5349,2.948084408
7133,2.938986142
1317,2.916130998
7183,2.90213928
6098,2.899222205
5023,2.890136004
7177,2.846170291
5276,2.838090862
9900,2.827891934
9471,2.820234865
7327,2.812343482
5800,2.794869836
7424,2.792546086
7147,2.780750074
6744,2.749554963
9904,2.69817102
7117,2.600711413
6188,2.59266151
9395,2.589645462
9635,2.586427315
9369,2.584671948
9699,2.554795424
6088,2.437325222
6012,2.399842609
6064,2.393484377
9629,2.382457845
9433,2.375893616
763,2.352914531
7517,2.347091319
9751,2.309540803
6197,2.291641359
6237,2.257731671
9636,2.250140532
8334,2.22691706
6023,2.203065814
9523,2.202791171
6932,2.18920531
6296,2.188332423
7417,2.17242636
7106,2.152639106
6071,2.151422361
7404,2.136392201
6235,2.117486829
9857,2.113343325
6907,2.112842836
7213,2.11002136
9961,2.105545102
7072,2.095716947
9802,2.091669741
10010,2.079439658
9797,2.04653468
9363,2.041036316
7383,2.03332249
9666,2.031002995
9958,2.020296386
6901,2.012035183
9639,1.976552624
9612,1.943943473
9891,1.92744678
7218,1.925317575
10015,1.907630365
9779,1.893757647
10011,1.887672963
6024,1.877731263
9894,1.874732807
9695,1.874399269
9640,1.86954713
7182,1.800799406
6238,1.800413992
9888,1.798344492
9614,1.785411525
1829,1.770530174
1318,1.76667645
9757,1.751755668
768,1.744330393
9692,1.738065018
9788,1.737538173
6929,1.729393851
9841,1.728611964
5772,1.722197001
9818,1.697626031
9815,1.688238246
10019,1.675940052
6040,1.668996232
9642,1.654188058
9748,1.649708189
9800,1.649216075
9932,1.642314352
9793,1.642040459
1363,1.635315516
9959,1.594583596
9690,1.594134349
9839,1.592293692
7207,1.578981182
9845,1.576713863
9714,1.566862231
9134,1.56280959
1367,1.551937967
765,1.550982621
6240,1.544288126
9993,1.544092468
9766,1.541198086
9710,1.534286809
9641,1.532194416
9620,1.523001628
9774,1.519811768
5856,1.517380431
7125,1.506143
6241,1.486038393
8325,1.483231707
7396,1.478538137
6971,1.475258195
9973,1.471126523
9609,1.463913732
6434,1.424493566
9794,1.4116603
1158,1.406414363
9547,1.403635965
9664,1.402464978
9988,1.387726989
7458,1.386800587
9878,1.383224664
915,1.381158021
9998,1.362056989
9713,1.35975499
7119,1.35146046
9693,1.342112177
6933,1.338329391
9638,1.329760119
6126,1.329569042
9702,1.315025562
9859,1.307821214
6070,1.303026198
9618,1.294552656
9977,1.29041627
9633,1.288622757
9643,1.275622413
9784,1.274241268
9630,1.273519058
9834,1.266305269
8266,1.255915272
9631,1.239124372
9689,1.235991109
9637,1.227214631
9930,1.227209558
9691,1.215733989
9130,1.203738996
1062,1.202649144
9625,1.196132298
9795,1.192682833
9754,1.182148314
9852,1.179539863
6830,1.165445477
9790,1.152808209
9719,1.145205558
6118,1.143636806
9758,1.141309453
7203,1.135107375
7520,1.130469089
9579,1.127782346
9732,1.096793408
9829,1.093460944
9954,1.089786466
7347,1.087901228
6069,1.085269011
6013,1.080595462
6985,1.07630183
6931,1.074033312
9827,1.050171305
9931,1.021987081
9822,1.01922242
9997,0.993716976
9647,0.990413219
9811,0.989583601
6963,0.96612284
9777,0.958935584
8419,0.955352759
9885,0.951853192
9782,0.950731339
772,0.940788976
9769,0.932307018
9952,0.900120596
9667,0.884538196
9708,0.883768912
7096,0.876309951
9978,0.87430463
9999,0.867374225
9621,0.865888856
9623,0.862455359
770,0.856345644
7518,0.854364007
9960,0.850980628
9934,0.840547255
9772,0.817414115
8343,0.816663119
9771,0.802867964
7323,0.802814629
9131,0.802587466
1890,0.7776195
7378,0.762119723
6100,0.742988942
9659,0.728471721
10024,0.697150076
10022,0.676191205
9781,0.659498333
9624,0.656129583
6127,0.644285196
430,0.63659412
9616,0.541732135
9128,0.507609507
9634,0.498871513
9619,0.446606803
9632,0.430500936
9733,0.425113357
1435,0.407539256
9133,0.275369218
9628,0.259260907
